timestamp,Basel Temperature Max,Basel Temperature Min,Basel Temperature Mean
20081107T0000,13.960529,7.2605286,10.741361
20081108T0000,12.970529,6.8705287,9.968863
20081109T0000,16.39053,5.8705287,11.889278
20081110T0000,19.29053,10.3005295,13.992195
20081111T0000,16.80053,9.850529,12.902611
20081112T0000,11.160529,7.4605284,9.284695
20081113T0000,8.690529,5.9505286,7.428862
20081114T0000,10.370529,5.9105287,7.647196
20081115T0000,10.900529,3.4605286,7.0417786
20081116T0000,9.710529,5.1405287,7.2980294
20081117T0000,8.460529,5.2505283,7.1609454
20081118T0000,10.610529,5.0005283,7.5251136
20081119T0000,10.920529,6.1205287,8.431779
20081120T0000,11.000529,4.4805284,8.230111
20081121T0000,10.5505295,2.8605285,7.8517795
20081122T0000,3.1405284,-0.90947133,1.7276117
20081123T0000,4.0605288,-2.3194714,1.1459452
20081124T0000,5.9805284,1.2305287,3.4355288
20081125T0000,4.8105288,-0.38947132,1.5267788
20081126T0000,4.5905285,0.5705287,2.2371955
20081127T0000,6.1205287,-1.3094714,1.7505288
20081128T0000,5.2205286,-2.0794713,1.8671951
20081129T0000,8.100529,-0.27947134,3.3980286
20081130T0000,10.540529,2.1205285,5.427612
20081201T0000,6.1105285,1.3305286,4.1305285
20081202T0000,4.9205284,0.33052868,2.8967783
20081203T0000,8.290529,-1.7794713,3.458028
20081204T0000,7.6605287,0.80052865,5.3930287
20081205T0000,9.720529,5.3005285,7.3680286
20081206T0000,7.2305284,4.2105284,5.706778
20081207T0000,7.1105285,1.1805286,4.492195
20081208T0000,7.3305287,-1.0594714,2.405112
20081209T0000,7.4005284,-1.5794713,2.8930285
20081210T0000,2.7005286,0.34052867,0.9934454
20081211T0000,0.98052865,0.0005286578,0.34802863
20081212T0000,0.41052866,-3.2994714,-0.9228048
20081213T0000,3.7705286,-3.6594715,-0.26405463
20081214T0000,3.2205286,-2.1294715,0.46969533
20081215T0000,2.8205285,-0.50947136,1.3201119
20081216T0000,2.8205285,-0.6694713,1.4580287
20081217T0000,1.5505286,-2.1194715,-0.11363804
20081218T0000,4.3105288,0.33052868,1.7934455
20081219T0000,7.5305285,1.7505287,4.805945
20081220T0000,8.750529,2.2705286,6.5205283
20081221T0000,7.7705283,5.0205283,6.505945
20081222T0000,8.190529,5.0005283,6.131361
20081223T0000,8.200529,2.7705286,5.4130287
20081224T0000,8.200529,1.5205287,4.220529
20081225T0000,7.3305287,-1.0394714,3.6542785
20081226T0000,3.3505285,-2.4294715,-0.72572154
20081227T0000,2.8605285,-4.0894713,-0.90363806
20081228T0000,0.13052866,-4.2794714,-1.7894713
20081229T0000,4.3605285,-4.9294715,-1.3353047
20081230T0000,5.8705287,-4.459471,0.012195419
20081231T0000,3.8405285,-2.3294713,1.665945
20090101T0000,6.3405285,-0.44947132,2.4588616
20090102T0000,2.4105287,-1.8894713,0.009278675
20090103T0000,2.1805286,-4.7994714,-2.0732214
20090104T0000,1.3505287,-6.0894713,-2.2823877
20090105T0000,0.29052866,-3.5294714,-1.651138
20090106T0000,1.4605286,-6.0394716,-2.089471
20090107T0000,-0.029471342,-6.3594713,-4.617805
20090108T0000,-1.2494713,-4.9694715,-3.2669716
20090109T0000,1.5905286,-7.9394712,-3.6998882
20090110T0000,2.8305285,-6.9994717,-2.7944715
20090111T0000,3.5205286,-4.5094714,-1.0382212
20090112T0000,4.4805284,-3.3194714,0.68927854
20090113T0000,6.5505285,0.93052864,3.1342785
20090114T0000,3.0005286,0.6305287,1.6534449
20090115T0000,5.0205283,-0.7394713,1.4034454
20090116T0000,7.4505286,-2.8394713,2.0626118
20090117T0000,9.930529,0.50052863,5.105529
20090118T0000,7.4305286,0.35052866,4.749279
20090119T0000,10.960529,3.5105286,7.284279
20090120T0000,7.7005286,3.5305285,5.732195
20090121T0000,6.5505285,2.4305286,4.6451125
20090122T0000,6.8305287,-2.2694714,2.879279
20090123T0000,10.500529,3.3805285,6.6026115
20090124T0000,7.7805285,1.0805286,4.0509453
20090125T0000,6.3005285,-0.43947133,2.6646955
20090126T0000,9.180529,-0.90947133,3.9688618
20090127T0000,6.7205286,2.1305285,3.7738626
20090128T0000,3.9605286,-3.3894715,0.33969525
20090129T0000,6.2005286,-4.1794715,0.3376119
20090130T0000,6.0205283,-1.9294714,0.9651119
20090131T0000,4.9505286,-3.2694714,-0.20863806
20090201T0000,2.3505285,-4.9094715,-0.29738805
20090202T0000,7.5005283,-0.26947135,3.3738623
20090203T0000,8.910529,2.1605287,4.9705286
20090204T0000,9.510529,0.09052865,4.540529
20090205T0000,12.440529,1.2605287,6.2459455
20090206T0000,8.450529,3.5605285,4.9096956
20090207T0000,4.3705287,2.6905286,3.674695
20090208T0000,3.9005284,-0.24947134,1.9334455
20090209T0000,6.5205283,-0.69947135,3.4084454
20090210T0000,7.2705283,1.3905287,4.9734454
20090211T0000,4.2705283,0.09052865,2.1663618
20090212T0000,2.1605287,-1.2394713,0.6688621
20090213T0000,2.2705286,-2.5894713,-0.4028046
20090214T0000,2.1505284,-4.0694714,-0.3065547
20090215T0000,4.2205286,-5.2394714,-0.5369714
20090216T0000,2.7305286,-0.059471346,1.4042786
20090217T0000,5.7305284,-1.9094714,3.0667782
20090218T0000,2.1505284,-4.6594715,-1.8573881
20090219T0000,2.2705286,-6.4094715,-1.9661382
20090220T0000,3.1605287,-3.5294714,0.69927853
20090221T0000,7.2805285,1.0605286,3.7538621
20090222T0000,4.8705287,2.4905286,3.353862
20090223T0000,6.5605288,3.1405284,4.639695
20090224T0000,6.2305284,1.5005287,3.3930283
20090225T0000,7.0105286,-1.5294713,3.163862
20090226T0000,10.140529,-1.0694714,5.062612
20090227T0000,10.820529,3.1805286,7.140112
20090228T0000,14.360529,3.5005286,8.032195
20090301T0000,11.980529,1.8705287,7.4371963
20090302T0000,11.010529,6.5105286,8.454696
20090303T0000,9.280529,2.8505285,6.7367787
20090304T0000,11.070529,0.67052865,6.0884457
20090305T0000,5.6705284,1.1205287,2.9321954
20090306T0000,3.5805285,1.0505286,2.239695
20090307T0000,6.2805285,-0.77947134,2.5784452
20090308T0000,9.930529,-0.7294713,5.248862
20090309T0000,6.8005285,2.8405285,4.7009454
20090310T0000,8.330529,3.8305285,5.724695
20090311T0000,7.3905287,1.7605287,5.0667787
20090312T0000,9.700529,1.2905287,6.0338616
20090313T0000,12.330529,5.2805285,9.302196
20090314T0000,16.40053,3.4905286,10.249279
20090315T0000,12.240529,7.040529,9.436363
20090316T0000,13.230529,2.9905286,7.648028
20090317T0000,14.180529,2.7205286,7.685946
20090318T0000,12.900529,4.0805287,8.097612
20090319T0000,11.720529,-0.15947133,5.6871953
20090320T0000,5.5905285,-1.4794713,2.2846954
20090321T0000,8.370529,-2.6594715,2.7559452
20090322T0000,12.020529,0.31052867,5.9642787
20090323T0000,12.5505295,1.3305286,8.230529
20090324T0000,7.3505287,-0.009471342,4.3134456
20090325T0000,6.7105284,0.48052865,4.2755284
20090326T0000,10.280529,3.3105285,7.445112
20090327T0000,10.870529,6.1705284,8.402613
20090328T0000,11.630529,6.1505284,8.551781
20090329T0000,10.240529,5.5905285,7.833863
20090330T0000,12.140529,2.1005285,7.0830293
20090331T0000,15.080529,2.2905285,7.8588624
20090401T0000,15.080529,3.3905284,9.039279
20090402T0000,15.880529,6.3405285,11.013028
20090403T0000,18.04053,9.290529,14.360527
20090404T0000,17.110529,6.2205286,13.430112
20090405T0000,16.770529,8.610529,13.258029
20090406T0000,19.46053,8.280529,14.2138605
20090407T0000,18.330528,9.120529,13.876362
20090408T0000,17.12053,7.7205286,13.267196
20090409T0000,19.62053,9.790529,14.760944
20090410T0000,21.80053,4.1605287,14.919696
20090411T0000,20.170528,6.290529,13.483031
20090412T0000,21.920528,6.9205284,15.902195
20090413T0000,21.090528,10.820529,16.001362
20090414T0000,21.580528,11.350529,16.312193
20090415T0000,21.55053,10.140529,16.196363
20090416T0000,12.590529,9.470529,10.748863
20090417T0000,14.420529,7.5305285,11.083444
20090418T0000,13.660529,6.8405285,10.933862
20090419T0000,19.260529,4.6405287,12.1355295
20090420T0000,17.97053,7.4105287,12.856778
20090421T0000,20.110529,9.370529,14.653445
20090422T0000,19.190529,10.060529,14.619279
20090423T0000,16.110529,6.1105285,11.780946
20090424T0000,17.180529,4.1405287,11.684279
20090425T0000,19.81053,7.4405284,13.832612
20090426T0000,21.910528,6.6205287,15.419697
20090427T0000,14.990529,9.610529,11.928445
20090428T0000,10.140529,6.3205285,8.838029
20090429T0000,12.330529,5.1205287,8.691362
20090430T0000,16.05053,3.6105285,11.254696
20090501T0000,19.010529,10.240529,14.342613
20090502T0000,17.760529,10.860529,14.422611
20090503T0000,20.240528,9.760529,14.720113
20090504T0000,14.490529,8.180529,11.563863
20090505T0000,15.640529,5.6405287,11.810112
20090506T0000,18.22053,7.6605287,14.189278
20090507T0000,23.500528,6.7305284,16.672197
20090508T0000,23.610529,13.030529,17.415945
20090509T0000,24.13053,12.120529,18.235945
20090510T0000,22.20053,13.360529,16.936365
20090511T0000,24.520529,12.0505295,17.585112
20090512T0000,23.47053,12.660529,18.546778
20090513T0000,24.350529,14.150529,19.719696
20090514T0000,21.72053,15.400529,18.00303
20090515T0000,16.46053,11.640529,14.308029
20090516T0000,19.71053,8.850529,14.715115
20090517T0000,26.62053,10.480529,18.503027
20090518T0000,19.520529,12.440529,16.206778
20090519T0000,22.750528,11.370529,18.061779
20090520T0000,25.95053,12.870529,20.053032
20090521T0000,23.260529,15.750529,19.531778
20090522T0000,21.440529,13.310529,18.155529
20090523T0000,26.48053,10.840529,19.053862
20090524T0000,29.29053,18.64053,24.597612
20090525T0000,31.420528,17.13053,25.508448
20090526T0000,21.97053,12.3005295,17.884695
20090527T0000,17.100529,8.980529,13.955528
20090528T0000,19.40053,10.280529,15.574695
20090529T0000,20.38053,10.020529,15.069279
20090530T0000,21.420528,8.600529,15.532611
20090531T0000,20.30053,9.450529,14.983447
20090601T0000,20.04053,8.260529,14.796777
20090602T0000,22.89053,11.790529,17.759697
20090603T0000,20.47053,11.870529,16.542196
20090604T0000,18.31053,10.080529,14.573445
20090605T0000,19.22053,9.390529,14.248863
20090606T0000,19.760529,10.100529,15.039279
20090607T0000,18.760529,11.700529,15.720944
20090608T0000,20.07053,12.430529,16.59386
20090609T0000,20.55053,13.030529,16.113028
20090610T0000,20.260529,12.020529,17.203028
20090611T0000,18.57053,12.450529,16.336779
20090612T0000,21.45053,10.940529,16.71428
20090613T0000,23.65053,13.610529,19.21511
20090614T0000,30.090528,14.500529,21.467613
20090615T0000,22.88053,17.090528,19.805113
20090616T0000,20.740528,13.740529,17.86553
20090617T0000,24.770529,10.490529,18.947197
20090618T0000,26.39053,16.72053,22.068031
20090619T0000,19.440529,12.480529,16.23303
20090620T0000,18.830528,10.970529,15.058446
20090621T0000,17.770529,9.370529,13.950528
20090622T0000,15.670529,9.430529,12.5730295
20090623T0000,19.70053,10.540529,14.477195
20090624T0000,24.73053,10.460529,17.910112
20090625T0000,23.04053,12.750529,18.935947
20090626T0000,20.940529,15.790529,18.266363
20090627T0000,20.520529,14.810529,18.04678
20090628T0000,24.71053,14.760529,20.118444
20090629T0000,26.12053,16.520529,21.952612
20090630T0000,26.680529,17.770529,22.891779
20090701T0000,26.840528,17.850529,23.308447
20090702T0000,27.860529,16.79053,23.059698
20090703T0000,24.82053,17.410528,21.750528
20090704T0000,23.840528,17.580528,20.582197
20090705T0000,23.430529,16.110529,20.168444
20090706T0000,23.740528,15.630529,19.28678
20090707T0000,18.82053,13.570529,16.658863
20090708T0000,17.20053,12.970529,15.358029
20090709T0000,18.340528,10.410529,14.817613
20090710T0000,18.63053,10.400529,15.378028
20090711T0000,21.110529,13.200529,17.79428
20090712T0000,26.260529,13.890529,19.348026
20090713T0000,26.97053,17.90053,22.461779
20090714T0000,26.750528,17.73053,22.409697
20090715T0000,25.780529,19.20053,22.469696
20090716T0000,27.430529,18.40053,22.59803
20090717T0000,20.100529,12.640529,16.763033
20090718T0000,16.62053,9.480529,13.492196
20090719T0000,20.57053,9.900529,16.805529
20090720T0000,23.22053,13.320529,19.147194
20090721T0000,29.500528,14.850529,22.70678
20090722T0000,29.71053,15.560529,23.467613
20090723T0000,26.510529,17.030529,21.653444
20090724T0000,23.340528,13.810529,17.872194
20090725T0000,20.430529,13.150529,17.163862
20090726T0000,24.12053,12.630529,18.902197
20090727T0000,28.270529,15.270529,20.983862
20090728T0000,22.96053,15.730529,19.228445
20090729T0000,26.780529,13.210529,21.147612
20090730T0000,23.14053,17.12053,20.138863
20090731T0000,23.98053,13.630529,18.17803
20090801T0000,28.22053,14.260529,21.257196
20090802T0000,23.12053,13.370529,18.663027
20090803T0000,21.23053,12.280529,17.278028
20090804T0000,23.530529,13.160529,18.657196
20090805T0000,26.490528,12.780529,19.815947
20090806T0000,27.88053,16.12053,22.071363
20090807T0000,28.05053,16.780529,22.91553
20090808T0000,21.180529,17.80053,19.550947
20090809T0000,26.080528,16.020529,21.01428
20090810T0000,21.530529,15.120529,19.11303
20090811T0000,24.280529,14.090529,19.464695
20090812T0000,25.530529,16.000528,21.05803
20090813T0000,25.580528,16.990528,21.235529
20090814T0000,24.29053,16.37053,20.318861
20090815T0000,28.06053,16.05053,22.438032
20090816T0000,30.490528,18.660528,24.958862
20090817T0000,30.88053,20.110529,25.143446
20090818T0000,28.520529,18.80053,23.720114
20090819T0000,29.96053,16.910528,23.927198
20090820T0000,32.36053,19.06053,26.615946
20090821T0000,25.660528,18.45053,22.359694
